,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ig01,ig02,ig03,ig04,ig05,ig06,ig07,ig08
29,WBGene00017301,6042.166348,0.808934858,0.03638762906,22.23104057,1.72E-109,1.02E-106,4420.668357,7884.663673,4582.184021,7650.476924,4287.540738,7726.618458,4282.360002,7502.818608
30,WBGene00014309,10293.29493,0.8812639196,0.03967897313,22.20984693,2.76E-109,1.58E-106,7150.972317,13093.25288,7667.784058,13180.44537,7343.243146,13715.25919,6818.87695,13376.52551
31,WBGene00002053,4448.5962,1.260673224,0.05695066842,22.13623227,1.42E-108,7.85E-106,2588.746351,5652.411155,2631.595451,6011.034469,2691.991522,6919.00138,2566.126096,6527.863177
32,WBGene00019154,297.791766,3.146197498,0.1425049238,22.07781608,5.16E-108,2.77E-105,74.01705077,512.5688527,36.70096961,497.1015548,61.06095169,627.0595157,65.79810502,508.0271273
33,WBGene00017937,354.6155631,3.148103166,0.14391437,21.87483547,4.51E-106,2.35E-103,88.82046092,570.1949367,44.85674064,578.8064187,79.64471959,768.4814491,69.08801027,637.0317686
34,WBGene00008205,2355.425785,1.718354136,0.07857871314,21.8679343,5.25E-106,2.65E-103,1050.116908,3314.005324,1050.735167,3328.518706,1254.846804,4207.969601,1031.933614,3605.280153
35,WBGene00019914,4831.823309,1.00552462,0.04606311994,21.82927734,1.22E-105,6.00E-103,3457.521484,6651.263278,3137.253254,6418.031595,3266.318445,6431.584905,2983.944063,6308.66945
36,WBGene00003485,2445.064066,1.089217336,0.05002007193,21.77560514,3.95E-105,1.89E-102,1515.499115,3153.258879,1560.470856,3237.65068,1643.336048,3539.106118,1533.095847,3378.094988
37,WBGene00006394,1937.275117,-1.051387456,0.04847773724,-21.68804725,2.66E-104,1.24E-101,2576.71858,1265.751881,2618.002499,1306.514225,2571.639502,1171.400542,2687.85259,1300.321119
38,WBGene00000668,2683.592882,2.799101144,0.1299200062,21.54480457,5.92E-103,2.68E-100,714.2645399,3943.848312,625.2757786,4676.267161,769.0140147,5469.204202,585.6031347,4685.265911
39,WBGene00004999,13197.60209,0.8327679846,0.03933370801,21.17186573,1.74E-99,7.64E-97,9844.267752,16831.87146,9012.126982,17742.9366,9706.921436,16682.45146,9393.776127,16366.46494
40,WBGene00003590,904.6801097,1.359965669,0.06424471716,21.16852138,1.86E-99,8.00E-97,520.8949948,1317.312061,451.2859967,1242.372089,517.6906774,1338.616413,532.9646507,1316.303995
41,WBGene00018393,1082.343164,1.527289712,0.07280380866,20.97815678,1.04E-97,4.35E-95,541.2496838,1547.816397,569.5446766,1606.60779,568.1323331,1825.143441,553.8007172,1446.45027
42,WBGene00010007,3190.261819,0.9247616304,0.04436495875,20.84441542,1.71E-96,7.01E-94,2310.257197,4359.362708,2077.003021,4050.881334,2185.805082,4134.145573,2223.97595,4180.663686
43,WBGene00009621,1313.312579,1.24268875,0.06032771459,20.59896945,2.80E-94,1.12E-91,787.3563776,1978.495552,704.1148985,1812.778942,814.1460225,1845.600702,809.3166917,1754.691449
44,WBGene00019819,1574.371494,1.565695011,0.07663790331,20.42977357,9.09E-93,3.55E-90,725.3670975,2034.099668,893.0569272,2304.535319,796.4471959,2558.936492,770.9344638,2511.594787
45,WBGene00022245,9160.709195,-1.256058331,0.06194692376,-20.27636329,2.08E-91,7.94E-89,12810.50106,5302.610715,14083.65726,6185.134553,12327.23271,5065.395662,12445.71156,5065.430031
46,WBGene00022410,441.1377074,2.270698489,0.1127188275,20.14480224,2.99E-90,1.12E-87,158.211446,698.5898959,118.2586799,623.8586333,166.3689698,822.7376625,157.915452,783.1609198
